Date,Column1,Quarter,Month,Day
44315,2021,Qtr 2,Apr,Thu
44316,2021,Qtr 2,May,Fri
44317,2021,Qtr 2,May,Sat
44318,2021,Qtr 2,May,Sun
44319,2021,Qtr 2,May,Mon
44320,2021,Qtr 2,May,Tue
44321,2021,Qtr 2,May,Wed
44322,2021,Qtr 2,May,Thu
44323,2021,Qtr 2,May,Fri
44324,2021,Qtr 2,May,Sat
44325,2021,Qtr 2,May,Sun
44326,2021,Qtr 2,May,Mon
44327,2021,Qtr 2,May,Tue
44328,2021,Qtr 2,May,Wed
44329,2021,Qtr 2,May,Thu
44330,2021,Qtr 2,May,Fri
44331,2021,Qtr 2,May,Sat
44332,2021,Qtr 2,May,Sun
44333,2021,Qtr 2,May,Mon
44334,2021,Qtr 2,May,Tue
44335,2021,Qtr 2,May,Wed
44336,2021,Qtr 2,May,Thu
44337,2021,Qtr 2,May,Fri
44338,2021,Qtr 2,May,Sat
44339,2021,Qtr 2,May,Sun
44340,2021,Qtr 2,May,Mon
44341,2021,Qtr 2,May,Tue
44342,2021,Qtr 2,May,Wed
44343,2021,Qtr 2,May,Thu
44344,2021,Qtr 2,May,Fri
44345,2021,Qtr 2,May,Sat
44346,2021,Qtr 2,May,Sun
44347,2021,Qtr 2,Jun,Mon
44348,2021,Qtr 2,Jun,Tue
44349,2021,Qtr 2,Jun,Wed
44350,2021,Qtr 2,Jun,Thu
44351,2021,Qtr 2,Jun,Fri
44352,2021,Qtr 2,Jun,Sat
44353,2021,Qtr 2,Jun,Sun
44354,2021,Qtr 2,Jun,Mon
44355,2021,Qtr 2,Jun,Tue
44356,2021,Qtr 2,Jun,Wed
44357,2021,Qtr 2,Jun,Thu
44358,2021,Qtr 2,Jun,Fri
44359,2021,Qtr 2,Jun,Sat
44360,2021,Qtr 2,Jun,Sun
44361,2021,Qtr 2,Jun,Mon
44362,2021,Qtr 2,Jun,Tue
44363,2021,Qtr 2,Jun,Wed
44364,2021,Qtr 2,Jun,Thu
44365,2021,Qtr 2,Jun,Fri
44366,2021,Qtr 2,Jun,Sat
44367,2021,Qtr 2,Jun,Sun
44368,2021,Qtr 2,Jun,Mon
44369,2021,Qtr 2,Jun,Tue
44370,2021,Qtr 2,Jun,Wed
44371,2021,Qtr 2,Jun,Thu
44372,2021,Qtr 2,Jun,Fri
44373,2021,Qtr 2,Jun,Sat
44374,2021,Qtr 2,Jun,Sun
44375,2021,Qtr 2,Jun,Mon
44376,2021,Qtr 2,Jun,Tue
